InternetGatewayDevice.DeviceSummary
InternetGatewayDevice.LANDeviceNumberOfEntries
InternetGatewayDevice.WANDeviceNumberOfEntries
InternetGatewayDevice.UserNumberOfEntries
InternetGatewayDevice.SmartCardReaderNumberOfEntries
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports
InternetGatewayDevice.DeviceInfo.DeviceCategory
InternetGatewayDevice.DeviceInfo.Manufacturer
InternetGatewayDevice.DeviceInfo.ManufacturerOUI
InternetGatewayDevice.DeviceInfo.ModelName
InternetGatewayDevice.DeviceInfo.ModelNumber
InternetGatewayDevice.DeviceInfo.Description
InternetGatewayDevice.DeviceInfo.ProductClass
InternetGatewayDevice.DeviceInfo.SerialNumber
InternetGatewayDevice.DeviceInfo.HardwareVersion
InternetGatewayDevice.DeviceInfo.SoftwareVersion
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion
InternetGatewayDevice.DeviceInfo.EnabledOptions
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion
InternetGatewayDevice.DeviceInfo.SpecVersion
InternetGatewayDevice.DeviceInfo.ProvisioningCode
InternetGatewayDevice.DeviceInfo.UpTime
InternetGatewayDevice.DeviceInfo.FirstUseDate
InternetGatewayDevice.DeviceInfo.DeviceLog
InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries
InternetGatewayDevice.DeviceInfo.SupportedDataModelNumberOfEntries
InternetGatewayDevice.DeviceInfo.ProcessorNumberOfEntries
InternetGatewayDevice.DeviceInfo.VendorLogFileNumberOfEntries
InternetGatewayDevice.DeviceInfo.LocationNumberOfEntries
InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Alias
InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Name
InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Version
InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Date
InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Description
InternetGatewayDevice.DeviceInfo.MemoryStatus.Total
InternetGatewayDevice.DeviceInfo.MemoryStatus.Free
InternetGatewayDevice.DeviceInfo.ProcessStatus.CPUUsage
InternetGatewayDevice.DeviceInfo.ProcessStatus.ProcessNumberOfEntries
InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.{i}.PID
InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.{i}.Command
InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.{i}.Size
InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.{i}.Priority
InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.{i}.CPUTime
InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.{i}.State
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensorNumberOfEntries
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.Alias
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.Enable
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.Status
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.Reset
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.ResetTime
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.Name
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.Value
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.LastUpdate
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.MinValue
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.MinTime
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.MaxValue
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.MaxTime
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.LowAlarmValue
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.LowAlarmTime
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.HighAlarmValue
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.PollingInterval
InternetGatewayDevice.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.HighAlarmTime
InternetGatewayDevice.DeviceInfo.NetworkProperties.MaxTCPWindowSize
InternetGatewayDevice.DeviceInfo.NetworkProperties.TCPImplementation
InternetGatewayDevice.DeviceInfo.SupportedDataModel.{i}.Alias
InternetGatewayDevice.DeviceInfo.SupportedDataModel.{i}.URL
InternetGatewayDevice.DeviceInfo.SupportedDataModel.{i}.UUID
InternetGatewayDevice.DeviceInfo.SupportedDataModel.{i}.URN
InternetGatewayDevice.DeviceInfo.SupportedDataModel.{i}.Features
InternetGatewayDevice.DeviceInfo.Processor.{i}.Alias
InternetGatewayDevice.DeviceInfo.Processor.{i}.Architecture
InternetGatewayDevice.DeviceInfo.VendorLogFile.{i}.Alias
InternetGatewayDevice.DeviceInfo.VendorLogFile.{i}.Name
InternetGatewayDevice.DeviceInfo.VendorLogFile.{i}.MaximumSize
InternetGatewayDevice.DeviceInfo.VendorLogFile.{i}.Persistent
InternetGatewayDevice.DeviceInfo.ProxierInfo.ManufacturerOUI
InternetGatewayDevice.DeviceInfo.ProxierInfo.ProductClass
InternetGatewayDevice.DeviceInfo.ProxierInfo.SerialNumber
InternetGatewayDevice.DeviceInfo.ProxierInfo.ProxyProtocol
InternetGatewayDevice.DeviceInfo.Location.{i}.Source
InternetGatewayDevice.DeviceInfo.Location.{i}.AcquiredTime
InternetGatewayDevice.DeviceInfo.Location.{i}.ExternalSource
InternetGatewayDevice.DeviceInfo.Location.{i}.ExternalProtocol
InternetGatewayDevice.DeviceInfo.Location.{i}.DataObject
InternetGatewayDevice.DeviceConfig.PersistentData
InternetGatewayDevice.DeviceConfig.ConfigFile
InternetGatewayDevice.ManagementServer.EnableCWMP
InternetGatewayDevice.ManagementServer.URL
InternetGatewayDevice.ManagementServer.Username
InternetGatewayDevice.ManagementServer.Password
InternetGatewayDevice.ManagementServer.PeriodicInformEnable
InternetGatewayDevice.ManagementServer.PeriodicInformInterval
InternetGatewayDevice.ManagementServer.PeriodicInformTime
InternetGatewayDevice.ManagementServer.ParameterKey
InternetGatewayDevice.ManagementServer.ConnectionRequestURL
InternetGatewayDevice.ManagementServer.ConnectionRequestUsername
InternetGatewayDevice.ManagementServer.ConnectionRequestPassword
InternetGatewayDevice.ManagementServer.UpgradesManaged
InternetGatewayDevice.ManagementServer.KickURL
InternetGatewayDevice.ManagementServer.DownloadProgressURL
InternetGatewayDevice.ManagementServer.DefaultActiveNotificationThrottle
InternetGatewayDevice.ManagementServer.UDPConnectionRequestAddress
InternetGatewayDevice.ManagementServer.UDPConnectionRequestAddressNotificationLimit
InternetGatewayDevice.ManagementServer.STUNEnable
InternetGatewayDevice.ManagementServer.STUNServerAddress
